No,Filename,Width,Height,AspectRatio,PixelAspectRatio,SourceDisplayRatio,RatioSource,Format,HasTransparentPixels,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category
1,hero_peptide_receptor.png,1408,768,1.83,1.83,,native,PNG,False,1,,bitmap,True,True,1160.2,Wide landscape
2,outlook_future.png,1408,768,1.83,1.83,,native,PNG,False,1,,bitmap,True,True,1380.3,Wide landscape
